short_name,character,unicode
Owner,,F289
PPTOutline,,F28A
PSTN-Call,,F28B
Page-View,,F28C
Pair,,F28D
Patient,,F28E
Pause,,F28F
Payment,,F290
Pen-Settings,,F291
People-Add,,F292
People-Community-Add,,F293
People-Community,,F294
People-Search,,F295
People-Team,,F296
People,,F297
Person-Accounts,,F298
Person-Add,,F299
Person-Available,,F29A
Person-Block,,F29B
Person-Delete,,F29C
Person-Feedback,,F29D
Person-Leave,,F29E
Person-Tentative,,F29F
Person-Voice,,F2A0
Person,,F2A1
Phone-Add-New-App,,F2A2
Phone-Desktop,,F2A3
Phone-Error,,F2A4
Phone-Home-Lock,,F2A5
Phone-Laptop,,F2A6
Phone-Link-Setup,,F2A7
Phone-Mobile,,F2A8
Phone-Page-Header,,F2A9
Phone-Pagination,,F2AA
Phone-Screen-Time,,F2AB
Phone-Status-Bar,,F2AC
Phone-Tablet,,F2AD
Phone-To-PC,,F2AE
Phone-Update,,F2AF
Phone-Vertical-Scroll,,F2B0
Phone-Vibrate,,F2B1
Phone,,F2B2
Photo-Filter,,F2B3
Photo-Rotate,,F2B4
Pin-Off,,F2B5
Pin,,F2B6
Play-Circle,,F2B7
Play,,F2B8
Point-Scan,,F2B9
Poll,,F2BA
Power,,F2BB
Predictions,,F2BC
Premium,,F2BD
Presenter,,F2BE
Print,,F2BF
QR-Code,,F2C0
Radio-Button,,F2C1
Re-Order,,F2C2
Read-Aloud,,F2C3
Read-Only,,F2C4
Reading-List-Add,,F2C5
Reading-List,,F2C6
Reading-Mode-Mobile,,F2C7
Reading-Mode,,F2C8
Recommended,,F2C9
Remove-Recent,,F2CA
Remove,,F2CB
Rename,,F2CC
Resize-Image,,F2CD
Resize-Video,,F2CE
Reward,,F2CF
Rewind,,F2D0
Router,,F2D1
Safe,,F2D2
Save-As,,F2D3
Save-Copy,,F2D4
Save,,F2D5
Scan,,F2D6
Scratchpad,,F2D7
Screenshot,,F2D8
Search-Square,,F2D9
Search,,F2DA
Select-All-Off,,F2DB
Select-All,,F2DC
Send-Copy,,F2DD
Send-Logging,,F2DE
Send,,F2DF
Setting-Mic,,F2E0
Settings-Dev,,F2E1
Settings,,F2E2
Shapes,,F2E3
Share-Android,,F2E4
Share-Close-Tray,,F2E5
Share-Desktop,,F2E6
Share-Screen,,F2E7
Share-Stop,,F2E8
Share-iOS,,F2E9
Share,,F2EA
Shield,,F2EB
Shifts-Pending,,F2EC
Shifts-Team,,F2ED
Shifts,,F2EE
Sign-Out,,F2EF
Signature,,F2F0
Signed,,F2F1
Site-Blocked,,F2F2
Site-Warning,,F2F3
Sleep,,F2F4
Slide-Add,,F2F5
Slow-Mode,,F2F6
Snooze,,F2F7
Sound-Source,,F2F8
Spacebar,,F2F9
Speaker-0,,F2FA
Speaker-1,,F2FB
Speaker-Bluetooth,,F2FC
Speaker-None,,F2FD
Speaker-Off,,F2FE
Speaker-Settings,,F2FF
Speaker,,F300
Star-Add,,F301
Star-Off,,F302
Star,,F303
Status,,F304
Sticker-Add,,F305
Sticker,,F306
Storage,,F307
Store,,F308
Style-Guide,,F309
Sub-Grid,,F30A
Subway,,F30B
Suggestion,,F30C
Surface-Earbuds,,F30D
Surface-Hub,,F30E
Swipe-Down,,F30F
Swipe-Right,,F310
Swipe-Up,,F311
Switch-Video,,F312
Symbols,,F313
System,,F314
Tab-In-Private,,F315
Tab-New,,F316
Tab-Sweep,,F317
Tab-Tracking-Prevention,,F318
Tab,,F319
Table-Add,,F31A
Table-Delete,,F31B
Table-Edit,,F31C
Table-Settings,,F31D
Table,,F31E
Tablet,,F31F
Tabs,,F320
Tag,,F321
Tap-Double-outline,,F322
Tap-Single,,F323
Target,,F324
Team-Add,,F325
Team-Delete,,F326
Teddy,,F327
Temperature,,F328
Test-Call,,F329
Text-Add,,F32A
Text-Align-Center,,F32B
Text-Align-Distributed,,F32C
Text-Align-Justify,,F32D
Text-Align-Left,,F32E
Text-Align-Right,,F32F
Text-Bold,,F330
Text-Bullet-List-Square,,F331
Text-Bullet-List,,F332
Text-Color,,F333
Text-Description,,F334
Text-Edit-Style,,F335
Text-First-Line,,F336
Text-Font-Size,,F337
Text-Font,,F338
Text-Hanging,,F339
Text-Indent-Decrease,,F33A
Text-Indent-Increase,,F33B
Text-Italic,,F33C
Text-Line-Spacing,,F33D
Text-Number-List-LTR,,F33E
Text-Number-List-RTL,,F33F
Text-Quote,,F340
Text-Strikethrough,,F341
Text-Underline,,F342
Text,,F343
Thinking,,F344
Thumb-Dislike,,F345
Thumb-Like,,F346
Ticket,,F347
Time-And-Weather,,F348
Time-Picker,,F349
Timeline,,F34A
Timer-10,,F34B
Timer-2,,F34C
Timer-Off,,F34D
Timer,,F34E
Top-Speed,,F34F
Translate,,F350
Triple-Column,,F351
Trophy,,F352
USB-Port,,F353
USB-Stick,,F354
Uninstall-App,,F355
Unlock,,F356
Unsave,,F357
Upgrade,,F358
Video-Clip,,F359
Video-Off,,F35A
Video-Play-Pause,,F35B
Video-Security,,F35C
Video,,F35D
View-Desktop-Mobile,,F35E
View-Desktop,,F35F
Voicemail,,F360
Wallpaper,,F361
Warning,,F362
Weather-Blowing-Snow,,F363
Weather-Cloudy,,F364
Weather-Duststorm,,F365
Weather-Fog,,F366
Weather-Hail-Day,,F367
Weather-Hail-Night,,F368
Weather-Moon,,F369
Weather-Partly-Cloudy-Day,,F36A
Weather-Partly-Cloudy-Night,,F36B
Weather-Rain-Showers-Day,,F36C
Weather-Rain-Showers-Night,,F36D
Weather-Rain-Snow,,F36E
Weather-Rain,,F36F
Weather-Snow-Shower-Day,,F370
Weather-Snow-Shower-Night,,F371
Weather-Snow,,F372
Weather-Snowflake,,F373
Weather-Squalls,,F374
Weather-Sunny,,F375
Weather-Thunderstorm,,F376
Web-Asset,,F377
Weekend,,F378
Whiteboard,,F379
WiFi-1,,F37A
WiFi-2,,F37B
WiFi-3,,F37C
WiFi-4,,F37D
WiFi-Protected,,F37E
Window-Dev-Tools,,F37F
Xbox-Console,,F380
iOS-Arrow-Left,,F381
